Term (EN),Description (EN),Rmk,JP Glossary,KR Glossary,Category,Feature,Marketing Reference,Changed,Changes,Status,
Pro Surveyor,A license type required to access BeamoBox features.,,プロサーベイヤー,프로 서베이어,User Management,Roles,,14 May 2026,🆕 v3.0.0 — confirm license tier name,✅ Confirmed,
User Management,"A feature to manage users (RBAC, create teams, manage team permissions).",,ユーザーマネージメント,사용자 관리,User Management,Teams,,,,✅ Confirmed,
Team,A team given access to any level of the site hierarchy.,,チーム,팀,User Management,Teams,,,,✅ Confirmed,
Team Profile,"Setting UI where super admin/team admin invite users, add labels, and set permissions.",,チーム プロフィール,팀 프로필,User Management,Teams,,,,✅ Confirmed,
Team Management,"Ability to create, manage teams and their users and permissions.",,チームマネージメント,팀 관리,User Management,Teams,,14 Feb 2022,Added,✅ Confirmed,
Members (Tab),Member setting UI where super admin and team admin invite users.,,メンバー（メンバータブ）,멤버 목록,User Management,Teams,,,,✅ Confirmed,
Permission (Tab),Permission Setting UI where team can be given access to any level of the site hierarchy.,,権限（権限タブ）,권한,User Management,Permissions,,,,✅ Confirmed,
Role Management,Ability to assign different roles to a user.,,ロールマネージメント,사용자 권한,User Management,Permissions,,14 Feb 2022,Added,✅ Confirmed,
Role Base Access Control,Beamo utilizes a RBAC system to manage user access permissions.,,ロールベースアクセス制御,역할 기반 접근 제어,User Management,Permissions,,,,✅ Confirmed,
User Types,"Super Admin, Site Manager, Team Users (Team Admin, Surveyor, Collaborator, Viewer).",,ユーザータイプ,사용자 유형,User Management,Permissions,,,,✅ Confirmed,
User Role,A role permission.,,ユーザーロール,사용자 역할,User Management,Permissions,,,,✅ Confirmed,
Permissions,Beamo utilizes a RBAC system to define permission controls.,,権限,권한,User Management,Permissions,,,,✅ Confirmed,
All Users,"Super Admin, Site Manager, Team Admin, Surveyor, Collaborator, Viewer.",,全ユーザー,모든 사용자,User Management,Roles,,,,✅ Confirmed,
  ▌ Data Management,,,,,,,,,,,
Data Management,"A feature to manage data (edit/delete shared links, recover deleted sites and surveys).",,データマネージメント,데이터 관리,Data Management,Shared Links,,,,✅ Confirmed,
Overview,Data Management UI where user can delete or edit the shared survey link.,,オーバービュー,모아보기,Data Management,Shared Links,,,,✅ Confirmed,
Recover,Management UI where deleted site and survey are stored and user can recover them.,,リカバリー,복구,Data Management,Recovery,,,,✅ Confirmed,
Restore,"A process to restore the removed survey, site, floor.",,復元する,복원,Data Management,Recovery,,,,✅ Confirmed,
  ▌ 3D Workspace,,,,,,,,,,,
3D Workspace,A place where users can collaborate by inputting and displaying information regarding a survey.,,3Dワークスペース,3D 워크스페이스,3D Workspace,Navigation,,,,✅ Confirmed,
Sidebar,A menu bar in the 3D workspace where all the buttons locate.,,サイドバー,사이드바,3D Workspace,Navigation,,,,✅ Confirmed,
Sidepanel,"A bar where tag, comment, tracking tour list will display.",,サイドパネル,사이드패널,3D Workspace,Navigation,,,,✅ Confirmed,
Viewer,The part of the screen where 360° images display.,,ビューア画面,뷰어,3D Workspace,Navigation,,,,✅ Confirmed,
Mini-map,An explorable map based upon 2D layout of the floor.,,ミニマップ,미니맵,3D Workspace,Navigation,,14 Feb 2022,Added,✅ Confirmed,
Mini-Map GPS,A button to check your current position on the minimap.,,ミニマップGPS,미니맵 GPS ,3D Workspace,Navigation,,,,✅ Confirmed,
Floor Selector,A UI within Minimap that enables users to navigate between floors.,,フロアセレクター,층 이동 바,3D Workspace,Navigation,,,,✅ Confirmed,
Survey Selector,A dropup survey list to choose the survey to view.,,サーベイセレクター,서베이 선택바,3D Workspace,Navigation,,,,✅ Confirmed,
Plan Selector,A dropdown plan list to choose the plan to view.,,フロア（フロアプラン）セレクター,도면 선택바,3D Workspace,Navigation,,,,✅ Confirmed,
Pointer,A UI following the mouse cursor on 360° image that leads to the closest point.,,ポインター,포인트,3D Workspace,Navigation,,,,✅ Confirmed,
Hotspot,White circle on the floor showing the captured point.,,ホットスポット,핫스팟,3D Workspace,Navigation,,,,✅ Confirmed,
Full Screen,Button to display the viewer in full-screen mode.,,全画面,전체화면,3D Workspace,Navigation,,,,✅ Confirmed,
View Zoom In/Out,Button to zoom in/out the viewer of the 3D workspace.,,ズームイン/アウト,확대/ 축소,3D Workspace,Navigation,,,,✅ Confirmed,
Magnifying Zoom,A button to zoom in of an image.,,虫眼鏡アイコン,확대 아이콘,3D Workspace,Navigation,,,,✅ Confirmed,
Collapse Mini-map,A button to close minimap.,,ミニマップ閉じる,미니 맵 닫기 ,3D Workspace,Navigation,,,,✅ Confirmed,
Resize Mini-map,A handle to resize your minimap.,,ミニマップリサイズ,미니 맵 크기 조절 ,3D Workspace,Navigation,,,,✅ Confirmed,
2D Plan,A feature to display a list of the plans of the site in 3D Workspace.,,2D フロアプラン,2D 도면,3D Workspace,Navigation,2D Plan,,,✅ Confirmed,
Plan overview,The overview of the plan through 3D Workspace > 2D Plan > Select plan.,,フロアプランオーバービュー,도면 개요 창,3D Workspace,Navigation,,,,✅ Confirmed,
Nadir,,,ネディア,천저,3D Workspace,Navigation,,,,✅ Confirmed,
Tag,A container of information displayed in the 3D space or plan.,,タグ,태그,3D Workspace,Tag,Tag,,,✅ Confirmed,
Folder,"Folder to organize the tag, tracking tour.",,フォルダー,폴더,3D Workspace,Tag,,,,✅ Confirmed,
Announce,A checkmark box to pin your tag as announce mode.,,アナウンス機能,공지,3D Workspace,Tag,,,,✅ Confirmed,
